;info;enunciado;options;ano;banca;orgao;prova;articles_mentioned_enunciado;articles_mentioned_options;all_articles_mentioned;articles_numbers;paragraphs_mentioned;chapters_mentioned;titles_mentioned;incisos_mentioned;job;is_social_work;has_articles
30;Ano: 2010 Banca: FCC Órgão: TRT - 8ª Região (PA e AP) Prova: FCC - 2010 - TRT - 8ª Região (PA e AP) - Técnico Judiciário - Área Administrativa;"Em determinada cidade funciona a Associação Recreativa Águas Marinhas; o Asilo Sol Nascente; a creche Maria da Penha e a casa de repouso Vida e Saúde. Considerando que todas as instituições não possuem fins lucrativos, de acordo com a Consolidação das Leis do Trabalho, equiparam-se ao empregador para os efeitos exclusivos da relação de emprego a
";"Alternativas
A
Associação Recreativa Águas Marinhas; o Asilo Sol Nascente; a creche Maria da Penha e a casa de repouso Vida e Saúde.
B
Associação Recreativa Águas Marinhas e a casa de repouso Vida e Saúde, apenas.
C
Associação Recreativa Águas Marinhas, apenas.
D
Asilo Sol Nascente; a creche Maria da Penha e a casa de repouso Vida e Saúde, apenas.
E
Associação Recreativa Águas Marinhas e a creche Maria da Penha, apenas.";2010;FCC;TRT - 8ª Região (PA e AP) ; FCC - 2010 - TRT - 8ª Região (PA e AP) - Técnico Judiciário - Área Administrativa;;;;;;;;;Técnico Judiciário Área Administrativa;0.0;0.0
33;Ano: 2010 Banca: FUNIVERSA Órgão: SEPLAG-DF Prova: FUNIVERSA - 2010 - SEPLAG-DF - Analista - Administração;"

A Lei n.º 11.340/2006 cria mecanismos para coibir a violência doméstica e familiar contra a mulher, nos termos do art. 226 da Constituição Federal, da Convenção sobre a Eliminação de Todas as Formas de Discriminação Contra as Mulheres e da Convenção Interamericana para Prevenir, Punir e Erradicar a Violência Contra a Mulher.

Introdução da Lei n.º 11.340/2006, conhecida como Lei Maria da Penha sancionada pelo presidente da República em 7 de agosto de 2006

Acerca dessa lei, assinale a alternativa correta.
";"Alternativas
A
Condenados por agressão contra mulheres poderão ter sua pena substituída por penas alternativas, como a prestação de serviços comunitários.
B
A agressão contra a mulher, quando cometida pelo companheiro, é considerada crime hediondo, recebendo punição mais severa que o estupro.
C
Essa lei permite que agressores de mulheres no âmbito doméstico ou familiar sejam presos em flagrante ou tenham sua prisão preventiva decretada.
D
Para efeitos de punição por meio dessa lei, entende-se como violência doméstica e familiar contra a mulher as formas de violência física, sexual, patrimonial e moral, excluindo-se a violência psicológica, já enquadrada em outros dispositivos.
E
Essa lei recebeu a alcunha de Lei Maria da Penha, em homenagem à deputada federal de mesmo nome, eleita pelo Rio Grande do Sul, parlamentar que mais se empenhou por sua aprovação.";2010;FUNIVERSA;SEPLAG-DF ; FUNIVERSA - 2010 - SEPLAG-DF - Analista - Administração;['art 226 da constituição federal', 'art 226'];;['art 226 da constituição federal', 'art 226'];[];;;;;Analista Administração;0.0;1.0
36;Ano: 2007 Banca: FCC Órgão: TRF - 3ª REGIÃO Prova: FCC - 2007 - TRF - 3ª REGIÃO - Analista Judiciário - Psicologia;O ECA (Estatuto da Criança e do Adolescente) e a Lei Maria da Penha (Lei da Violência Doméstica e Familiar contra a Mulher) pressupõem a existência de equipes multidisciplinares nas instituições que lidarão com situações que são tratadas nesses documentos legais. Os seguintes profissionais devem estar necessariamente inseridos nessas equipes:;"Alternativas
A
psicólogo e assistente social.
B
estagiário de direito e médico.
C
advogado e contador.
D
terapeuta e enfermeiro.
E
fisioterapeuta e psicólogo voluntário.";2007;FCC;TRF - 3ª REGIÃO ; FCC - 2007 - TRF - 3ª REGIÃO - Analista Judiciário - Psicologia;;;;;;;;;Analista Judiciário Psicologia;0.0;0.0
39;Ano: 2011 Banca: FCC Órgão: MPE-CE Prova: FCC - 2011 - MPE-CE - Promotor de Justiça;"Constatada a prática de violência doméstica e familiar contra a mulher, ao ofensor o juiz
";"Alternativas
A
de imediato poderá aplicar a proibição de aproximação da ofendida, de seus familiares e das testemunhas, fixando o limite mínimo de distância entre estes e o agressor.
B
só poderá proibir o contato físico com a ofendida, depois do trânsito em julgado da sentença e se não houver reconciliação do casal.
C
não poderá, em nenhuma hipótese, estender a proibição de aproximação da ofendida aos dependentes menores, ou restringir-lhe ou suspender-lhe as visitas.
D
poderá suspender a posse ou restrição de porte de arma de fogo, ainda que se trate de integrante de órgãos policiais, independentemente de comunicação ao órgão competente ou autoridade a que esteja subordinado.
E
não poderá proibir a frequentação de qualquer outro lugar exceto o ambiente familiar, embora naquele também possa encontrar-se a ofendida.";2011;FCC;MPE-CE ; FCC - 2011 - MPE-CE - Promotor de Justiça;;;;;;;;;Promotor de Justiça;0.0;0.0
42;Ano: 2011 Banca: INSTITUTO CIDADES Órgão: DPE-AM Prova: INSTITUTO CIDADES - 2011 - DPE-AM - Defensor Público;"Acerca da violência familiar e doméstica contra a mulher (lei 11.340/2006), marque a opção correta:
";"Alternativas
A
são formas de violência doméstica e familiar contra a mulher, dentre outras: a violência fisica, a violência psicológica, a violência sexual, a violência patrimonial e a violência moral, desde que não praticadas pelo cônjuge;
B
constitui violência doméstca e familiar contra a mulher qualquer ação ou omissão baseada no gênero que lhe cause morte, lesão, sofrimento fisico, sexual ou psicológico e dano moral ou patrimonial, seja no âmbito da unidade doméstca, no âmbito da família ou em qualquer relação íntima de afeto;
C
somente são cabíveis medidas de proteção e urgência em favor da mulher quando houver sido praticada uma conduta que cause violência doméstica e familiar e haja pedido formal do Ministério Público
D
nas ações penais públicas condicionadas à representação da ofendida de que trata a lei 11.340/06 somente será admitida a renúncia à representação na presença do juiz, independentemente da oitiva do Ministério Público;
E
a lei 11.340/06 veda a aplicação de penas de prestação de serviços comunitários ou de penas de cestas básicas, mas possibilita a substituição da pena privativa por pagamento isolado de multa";2011;INSTITUTO;DPE-AM ; INSTITUTO CIDADES - 2011 - DPE-AM - Defensor Público;;;;;;;;;CIDADES Defensor Público;0.0;0.0
45;Ano: 2011 Banca: FUMARC Órgão: PC-MG Prova: FUMARC - 2011 - PC-MG - Delegado de Polícia;"Com relação às penas e sua aplicação, é CORRETO afirmar que

";"Alternativas
A
conforme a regra geral do Código Penal, o regime inicialmente fechado é cabível sempre que for o réu reincidente em crime doloso.

B
para fins de detração penal, o tempo de prisão provisória não se computa no do tratamento ambulatorial, por possuir a medida de segurança prazo indeterminável e natureza jurídica diversa da pena.

C
nos crimes que envolvam violência doméstica, a Lei nº 11.340/2006 veda a substituição da pena privativa de liberdade pela restritiva de direitos de prestação pecuniária ou o pagamento isolado de multa.

D
apesar de não previsto expressamente pela Lei nº 9.605/98, a possibilidade de aplicação de pena à pessoa jurídica, condenada por crime ambiental, aplicam-se a elas, subsidiariamente, no que couber, o disposto no art. 44 do Código Penal.";2011;FUMARC;PC-MG ; FUMARC - 2011 - PC-MG - Delegado de Polícia;;['art 44 do código penal', 'art 44'];['art 44 do código penal', 'art 44'];['44'];;;;;Delegado de Polícia;0.0;1.0
48;Ano: 2018 Banca: CESPE / CEBRASPE Órgão: STM Prova: CESPE - 2018 - STM - Analista Judiciário - Serviço Social;"A partir dessa situação hipotética, julgue o item subsecutivo, considerando o que dispõem a Lei Maria da Penha, o Estatuto da Criança e do Adolescente e o Estatuto do Idoso.

A violência patrimonial sofrida por Maria Nilda deverá ser classificada como violência simbólica.";"Alternativas
Certo
Errado";2018;CESPE;STM ; CESPE - 2018 - STM - Analista Judiciário - Serviço Social;;;;;;;;;Analista Judiciário Serviço Social;1.0;0.0
51;Ano: 2018 Banca: CESPE / CEBRASPE Órgão: SEFAZ-RS Provas: CESPE - 2018 - SEFAZ-RS - Auditor do Estado - Bloco I ;Assinale a opção que apresenta medida protetiva de urgência a ser aplicada ao agressor no caso de constatação da prática de violência doméstica contra a mulher, conforme o disposto na Lei Maria da Penha — Lei n.º 11.340/2006.;"Alternativas
A
transferência para outra comarca
B
prestação de serviços em creches e asilos
C
proibição de aproximação ou contato com familiares da ofendida
D
pagamento de multa
E
pagamento de cestas básicas";2018;CESPE;SEFAZ-RS ; CESPE - 2018 - SEFAZ-RS - Auditor do Estado - Bloco I ;;;;;;;;;Auditor do Estado;0.0;0.0
54;Ano: 2018 Banca: CESPE / CEBRASPE Órgão: SEFAZ-RS Provas: CESPE - 2018 - SEFAZ-RS - Auditor do Estado - Bloco I ;"A Lei Maria da Penha estabelece deveres a serem observados pela autoridade policial no atendimento à mulher em situação de violência doméstica. A respeito desse assunto, julgue os seguintes itens.




I A mulher deverá ser mantida no lar com escolta policial até que seja encerrado o inquérito ou até que seja concedida medida protetiva de urgência.

II A autoridade policial deverá garantir que a mulher não tenha contato direto com o agressor ou com pessoas a ele relacionadas, salvo se por meio de familiares e testemunhas.

III É direito da mulher o atendimento policial e pericial especializado, ininterrupto e prestado por servidores — preferencialmente do sexo feminino — previamente capacitados.

IV A autoridade policial deverá garantir que não haja revitimização da mulher que tenha sofrido violência familiar, evitando sucessivas inquirições sobre sua vida privada.




Assinale a opção correta.";"Alternativas
A
Apenas o item I está certo.
B
Apenas o item II está certo.
C
Apenas os itens I e IV estão certos.
D
Apenas os itens II e III estão certos.
E
Apenas os itens III e IV estão certos.";2018;CESPE;SEFAZ-RS ; CESPE - 2018 - SEFAZ-RS - Auditor do Estado - Bloco I ;;;;;;;;['\nii ', '\niii ', '\niv '];Auditor do Estado;0.0;0.0
57;Ano: 2018 Banca: CESPE / CEBRASPE Órgão: STJ Prova: CESPE - 2018 - STJ - Analista Judiciário - Judiciária;"Tendo como referência a legislação penal extravagante e a jurisprudência das súmulas dos tribunais superiores, julgue o item que se segue.




Em se tratando de crimes de violência doméstica e familiar contra a mulher, se a condenação for privativa de liberdade por até um ano, poderá o juiz substituí-la por pena de prestação pecuniária ou pagamento isolado de multa.
";"Alternativas
Certo
Errado";2018;CESPE;STJ ; CESPE - 2018 - STJ - Analista Judiciário - Judiciária;;;;;;;;;Analista Judiciário Judiciária;0.0;0.0
60;Ano: 2018 Banca: VUNESP Órgão: TJ-RS Prova: VUNESP - 2018 - TJ-RS - Juiz de Direito Substituto;O feminicídio (CP, art. 121, § 2o , VI);"Alternativas
A
está ausente do rol dos crimes hediondos (Lei no 8.072/90).
B
demanda, para seu reconhecimento, obrigatória relação doméstica ou familiar entre agressor e vítima.
C
é o homicídio qualificado por condições do sexo feminino.
D
foi introduzido em nosso ordenamento pela Lei Maria da Penha (Lei no 11.340/06).
E
admite a modalidade preterdolosa.";2018;VUNESP;TJ-RS ; VUNESP - 2018 - TJ-RS - Juiz de Direito Substituto;['art 121', 'art 121, '];;['art 121', 'art 121, '];[];['§ 2'];;;;Juiz de Direito Substituto;0.0;1.0
63;Ano: 2016 Banca: INAZ do Pará Órgão: CRO - RJ Provas: INAZ do Pará - 2016 - CRO - RJ - Auxiliar Administrativo ;"A violência contra a mulher só aumenta no Brasil. As leis são relativamente severas, mas mesmo assim não conseguem coibir tal ato. Apesar de ser um crime e uma grave violação de direitos humanos, esse tipo de violência segue vitimando milhares de brasileiras. Em 2016 uma importante lei em defesa da dignidade e não violência contra a mulher completa 10 anos.

Disponível em<http://www.idecrim.com.br/index.php/direito/30-lei-de-violencia-contra-amulher> . Acesso em: 23 agosto 2016.




Assinale a alternativa que apresenta a lei que completa 10 anos em 2016 e é um marco no combate à violência contra a mulher.";"Alternativas
A
Lei do assédio.
B
Lei da liberdade de expressão.
C
Lei Maria da Penha.
D
Lei do crime hediondo.
E
Lei da moralidade.";2016;INAZ;CRO - RJ ; INAZ do Pará - 2016 - CRO - RJ - Auxiliar Administrativo ;;;;;;;;;Auxiliar Administrativo;0.0;0.0
66;Ano: 2018 Banca: Prefeitura de Fortaleza - CE Órgão: Prefeitura de Fortaleza - CE Prova: Prefeitura de Fortaleza - CE - 2018 - Prefeitura de Fortaleza - CE - Diversas Especialidades;Para os efeitos da Lei nº 11.340/2006 (Lei Maria da Penha), configura violência doméstica e familiar contra a mulher:;"Alternativas
A
qualquer ação ou omissão no âmbito doméstico e familiar, baseada no gênero, que lhe causa morte, lesão, sofrimento físico, sexual ou psicológico e dano moral e patrimonial, em relações pessoais que independem de orientação sexual.
B
no âmbito da unidade doméstica, compreendida como espaço de convívio permanente de pessoas que necessariamente mantenham entre si vínculo familiar.
C
no âmbito da família, compreendida como a unidade formada por indivíduos aparentados, unidos por laços naturais, excluindo-se os laços por afinidade ou por vontade expressa.
D
em qualquer relação íntima de afeto na qual o agressor ainda conviva com a ofendida, pressupondo-se a coabitação.";2018;Prefeitura;Prefeitura de Fortaleza - CE ; Prefeitura de Fortaleza - CE - 2018 - Prefeitura de Fortaleza - CE - Diversas Especialidades;;;;;;;;;Diversas Especialidades;0.0;0.0
69;Ano: 2018 Banca: Prefeitura de Fortaleza - CE Órgão: Prefeitura de Fortaleza - CE Prova: Prefeitura de Fortaleza - CE - 2018 - Prefeitura de Fortaleza - CE - Diversas Especialidades;De acordo com a Lei nº 11.340/2006 (Lei Maria da Penha), a violência moral contra a mulher é entendida como:;"Alternativas
A
qualquer conduta que lhe cause dano emocional e diminuição da autoestima.
B
qualquer conduta que lhe prejudique e lhe perturbe o pleno desenvolvimento.
C
qualquer conduta que vise degradar ou controlar suas ações, comportamentos, crenças e decisões.
D
qualquer conduta que configure calúnia, difamação ou injúria.";2018;Prefeitura;Prefeitura de Fortaleza - CE ; Prefeitura de Fortaleza - CE - 2018 - Prefeitura de Fortaleza - CE - Diversas Especialidades;;;;;;;;;Diversas Especialidades;0.0;0.0
72;Ano: 2018 Banca: NUCEPE Órgão: PC-PI Provas: NUCEPE - 2018 - PC-PI - Perito Criminal – Engenharia Civil ;Acerca das formas de violência doméstica e familiar contra a mulher, previstas na Lei Maria da Penha, é CORRETO afirmar que:;"Alternativas
A
a violência psicológica é entendida como qualquer conduta que ofenda sua integridade ou saúde corporal;
B
a violência física é entendida como qualquer conduta que lhe cause dano emocional e diminuição da auto-estima ou que lhe prejudique e perturbe o pleno desenvolvimento ou que vise degradar ou controlar suas ações, comportamentos, crenças e decisões, mediante ameaça, constrangimento, humilhação, manipulação, isolamento, vigilância constante, perseguição contumaz, insulto, chantagem, ridicularização, exploração e limitação do direito de ir e vir ou qualquer outro meio que lhe cause prejuízo à saúde psicológica e à autodeterminação;
C
a violência moral é entendida como qualquer conduta que configure calúnia, difamação ou injúria;
D
a violência patrimonial é entendida como qualquer conduta que a constranja a presenciar, a manter ou a participar de relação sexual não desejada, mediante intimidação, ameaça, coação ou uso da força; que a induza a comercializar ou a utilizar, de qualquer modo, a sua sexualidade, que a impeça de usar qualquer método contraceptivo ou que a force ao matrimônio, à gravidez, ao aborto ou à prostituição, mediante coação, chantagem, suborno ou manipulação; ou que limite ou anule o exercício de seus direitos sexuais e reprodutivos;
E
a violência sexual é entendida como qualquer conduta que configure retenção, subtração, destruição parcial ou total de seus objetos, instrumentos de trabalho, documentos pessoais, bens, valores e direitos ou recursos econômicos, incluindo os destinados a satisfazer suas necessidades.";2018;NUCEPE;PC-PI ; NUCEPE - 2018 - PC-PI - Perito Criminal – Engenharia Civil ;;;;;;;;;Perito Criminal – Engenharia Civil;0.0;0.0
75;Ano: 2019 Banca: Quadrix Órgão: CRESS - SC Prova: Quadrix - 2019 - CRESS - SC - Agente Fiscal;"No Brasil, mulheres de todas as idades, classes e raças e vários níveis de escolaridade são atingidas pela violência de gênero. A Lei Maria da Penha constitui um importante instrumento para enfrentar e coibir a violência doméstica e familiar contra a mulher. No que concerne à Lei Maria da Penha, julgue o item.




Realizar o encaminhamento da mulher vítima de violência doméstica ao hospital ou posto de saúde e ao Instituto Médico Legal configura uma das providências da autoridade policial no atendimento à mulher em situação de violência doméstica e familiar.
";"Alternativas
Certo
Errado";2019;Quadrix;CRESS - SC ; Quadrix - 2019 - CRESS - SC - Agente Fiscal;;;;;;;;;Agente Fiscal;0.0;0.0
78;Ano: 2019 Banca: Quadrix Órgão: CRESS - SC Prova: Quadrix - 2019 - CRESS - SC - Agente Fiscal;"No Brasil, mulheres de todas as idades, classes e raças e vários níveis de escolaridade são atingidas pela violência de gênero. A Lei Maria da Penha constitui um importante instrumento para enfrentar e coibir a violência doméstica e familiar contra a mulher. No que concerne à Lei Maria da Penha, julgue o item.




O juiz poderá determinar o afastamento da mulher em situação de violência doméstica do seu lar, sem prejuízo dos direitos relativos a bens, guarda dos filhos e alimentos.
";"Alternativas
Certo
Errado";2019;Quadrix;CRESS - SC ; Quadrix - 2019 - CRESS - SC - Agente Fiscal;;;;;;;;;Agente Fiscal;0.0;0.0
81;Ano: 2019 Banca: IADES Órgão: SEASTER - PA Prova: IADES - 2019 - SEASTER - PA - Técnico de Enfermagem;A Lei nº 11.340/2006, denominada Lei Maria da Penha, cria mecanismos para coibir e prevenir a violência doméstica e familiar contra a mulher, bem como estabelece medidas de assistência e proteção às mulheres em situação de violência doméstica e familiar. Para efeitos de proteção da lei, a criação das condições necessárias para o efetivo exercício dos direitos compete ;"Alternativas
A
ao companheiro e à família.
B
à família e ao Poder Judiciário.
C
à família, à sociedade e ao poder público.
D
à sociedade e ao companheiro.
E
aos filhos e ao Estado.";2019;IADES;SEASTER - PA ; IADES - 2019 - SEASTER - PA - Técnico de Enfermagem;;;;;;;;;Técnico de Enfermagem;0.0;0.0
84;Ano: 2019 Banca: IADES Órgão: SEASTER - PA Provas: IADES - 2019 - SEASTER - PA - Enfermeiro ;A Lei n° 11.340/2006, chamada Lei Maria da Penha, cria mecanismos para coibir e prevenir a violência doméstica e familiar contra a mulher, bem como estabelece medidas de assistência e proteção às mulheres em situação de violência doméstica e familiar. Para efeitos de proteção da lei, é considerada violência doméstica contra a mulher;"Alternativas
A
qualquer ação ou omissão com base no critério biológico de diferença sexual que lhe cause morte, lesão, sofrimento físico, sexual ou psicológico e dano moral ou patrimonial.
B
qualquer ação ou omissão com base no patrimônio que lhe cause morte, lesão, sofrimento físico, sexual ou psicológico e dano moral.
C
qualquer ação ou omissão com base no gênero que lhe cause apenas morte.
D
qualquer ação ou omissão com base no gênero que lhe cause morte, lesão, sofrimento físico, sexual ou psicológico e dano moral ou patrimonial.
E
qualquer ação ou omissão com base no gênero que lhe cause apenas lesão leve.";2019;IADES;SEASTER - PA ; IADES - 2019 - SEASTER - PA - Enfermeiro ;;;;;;;;;Enfermeiro;0.0;0.0
87;Ano: 2019 Banca: NUCEPE Órgão: Prefeitura de Teresina - PI Prova: NUCEPE - 2019 - Prefeitura de Teresina - PI - Guarda Civil Municipal;Relativamente à Lei Maria da Penha (11.340/2006), marque a alternativa CORRETA.;"Alternativas
A
Serão asseguradas aos homens e às mulheres as condições para o exercício efetivo dos direitos à vida, à segurança, à saúde, à alimentação, à educação, à cultura, à moradia, ao acesso à justiça, ao esporte, ao lazer, ao trabalho, à cidadania, à liberdade, à dignidade, ao respeito e à convivência familiar e comunitária.
B
O poder público desenvolverá políticas que visem garantir os direitos humanos das mulheres no âmbito das relações domésticas e familiares no sentido de resguardá-las de toda forma de negligência, discriminação, exploração, violência, crueldade e opressão.
C
Cabe apenas ao poder público criar as condições necessárias para o efetivo exercício dos direitos enunciados no caput.
D
A violência doméstica e familiar contra a mulher não se constitui uma das formas de violação dos direitos humanos, mas de violência psicológica, e algumas vezes, física.
E
A assistência à mulher em situação de violência doméstica e familiar será prestada de forma articulada, emergencialmente quando a violência tiver sido realizada contra mulher servidora pública.";2019;NUCEPE;Prefeitura de Teresina - PI ; NUCEPE - 2019 - Prefeitura de Teresina - PI - Guarda Civil Municipal;;;;;;;;;Guarda Civil Municipal;0.0;0.0
90;Ano: 2019 Banca: IADES Órgão: SEASTER - PA Prova: IADES - 2019 - SEASTER - PA - Assistente Social;As medidas protetivas de urgência estão previstas na Lei Maria da Penha como um dos dispositivos de proteção às mulheres vítimas de violência. Quanto a esse tema, assinale a alternativa correta.;"Alternativas
A
No prazo de 72 horas, cabe ao juiz comunicar ao Ministério Público para que adote as providências cabíveis.
B
Essas medidas poderão ser concedidas pelo juiz, somente a requerimento do Ministério Público.
C
As medidas são insubstituíveis por qualquer outra medida, ainda que os direitos reconhecidos na Lei Maria da Penha sejam ameaçados ou violados.
D
As medidas protetivas serão aplicadas isolada ou cumulativamente, e poderão ser substituídas a qualquer tempo por outras de maior eficácia, sempre que os direitos reconhecidos nessa lei forem ameaçados ou violados.
E
Sob nenhuma hipótese, o juiz poderá revogar a prisão preventiva do agressor no curso do processo.";2019;IADES;SEASTER - PA ; IADES - 2019 - SEASTER - PA - Assistente Social;;;;;;;;;Assistente Social;1.0;0.0
