;enunciado;options;ano;banca;orgao;prova
10;Segundo o Estatuto da Criança e do Adolescente em seu artigo 13, os casos de suspeita ou confirmação de castigo físico, de tratamento cruel ou degradante e de maus-tratos contra criança ou adolescente, a quem se deve comunicar?;[];2023;FAUEL;Prefeitura de Piên - PR ; FAUEL - 2023 - Prefeitura de Piên - PR - Monitor de Educação Infantil
11;Conforme o Estatuto da Criança e do Adolescente, as entidades que desenvolvem programas de internação são obrigadas a ;[];2023;CESPE;Prefeitura de São Cristóvão - SE ; CESPE / CEBRASPE - 2023 - Prefeitura de São Cristóvão - SE - Guarda Municipal
12;"O Estatuto da Criança e do Adolescente (ECA), instituído pela Lei nº 8.069/1990, estabelece as referências que a educação escolar deve seguir para dar sua resposta à sociedade, para que os profissionais responsáveis por ela devem voltar seu olhar: [...] à percepção histórica da escola como espaço do castigo – a palmatória e a vara de marmelo, o grão de milho, copiar cem vezes “não devo responder a minha professora”, ficar sem recreio – até muito pouco tempo institucional e reconhecido pela comunidade como recurso didático-pedagógico, mais recentemente configurado nas manifestações públicas e explícitas de desqualificação: uma violência historicamente situada [...].
(GOMES, 2013, p. 73-4.)
Libertar a educação de características autoritárias e promover relações pessoais colaborativas, sob a luz do ECA, contribui para processos de mudanças e transformações sociais. A educação escolar encontra nas leis e no ECA fundamentos para mudar seu olhar a respeito do seu modus operandi. Considerando o disposto no ECA, no que se refere ao dever de velar pela dignidade da criança e do adolescente, pondo-os a salvo de qualquer tratamento desumano, violento, aterrorizante, vexatório ou constrangedor, analise as afirmativas a seguir.
I. Os agentes públicos executores de medidas socioeducativas encarregados de cuidar de crianças e de adolescentes poderão utilizar castigo físico como forma de correção e disciplina, quando estes estiverem cumprindo medidas socioeducativas.
II. O tratamento cruel ou degradante é uma conduta de tratamento em relação à criança ou adolescente que cause humilhação, ameaça grave ou que o ridicularize; portanto, passível a quem aplicou, sofrer sanções conforme a gravidade do fato ocorrido.
III. O castigo físico como ação de natureza disciplinar ou punitiva aplicada pelos pais, ou integrantes da família ampliada, com o uso da força física sobre a criança ou adolescente que resulte em sofrimento físico ou lesão, estarão sujeitos, sem prejuízo de sanções cabíveis, às medidas previstas e aplicadas de acordo com a gravidade do caso.
Está correto o que se afirma em 
";[];2023;Instituto;IF-PA ; Instituto Consulplan - 2023 - IF-PA - Assistente de Alunos
13;"Julgue o item subsequente. 




Considera-se ato de alienação parental a interferência na formação psicológica da criança ou do adolescente promovida ou induzida por um dos genitores, pelos avós ou pelos que tenham a criança ou adolescente sob a sua autoridade, guarda ou vigilância para que repudie genitor ou que cause prejuízo ao estabelecimento ou à manutenção de vínculos com este. 
";[];2023;IGEDUC;Prefeitura de Tupanatinga - PE ; IGEDUC - 2023 - Prefeitura de Tupanatinga - PE - Assistente Social
14;"Julgue o item subsequente. 




O artigo 11 da Lei nº 8.069, de 1990, veda o acesso às linhas de cuidado voltadas à saúde da criança e do adolescente por intermédio do Sistema Único de Saúde. Ainda de acordo com essa lei, a proteção, a recuperação e a promoção da saúde das crianças e dos adolescentes devem ser sempre custeadas por seus familiares, nunca pelo Estado. 
";[];2023;IGEDUC;Prefeitura de Tupanatinga - PE ; IGEDUC - 2023 - Prefeitura de Tupanatinga - PE - Assistente Social
15;"Julgue o item subsequente. 




A prática de ato de alienação parental fere o direito fundamental da criança ou do adolescente de convivência familiar saudável e constitui abuso moral. 
";[];2023;IGEDUC;Prefeitura de Tupanatinga - PE ; IGEDUC - 2023 - Prefeitura de Tupanatinga - PE - Assistente Social
16;"Julgue o item subsequente. 




Uma das garantias enunciadas no Estatuto da Criança e do Adolescente é a preferência na formulação das políticas sociais públicas e a destinação privilegiada de recursos públicos às áreas relacionadas à proteção à infância e à juventude. 
";[];2023;IGEDUC;Prefeitura de Tupanatinga - PE ; IGEDUC - 2023 - Prefeitura de Tupanatinga - PE - Assistente Social
17;"Julgue o item subsequente. 




Uma das determinações presente na Lei nº 8.069, de 1990, é a de que os profissionais das unidades primárias de saúde devem desenvolver ações sistemáticas de proteção e apoio ao aleitamento materno e à alimentação complementar saudável, de forma contínua. 
";[];2023;IGEDUC;Prefeitura de Tupanatinga - PE ; IGEDUC - 2023 - Prefeitura de Tupanatinga - PE - Assistente Social
18;"Julgue o item subsequente. 




A alienação parental é uma forma de garantir o direito fundamental da criança à convivência familiar saudável. Ela é um meio eficiente de cumprir os deveres relacionados à autoridade dos pais ou decorrentes de tutela ou guarda. Assim, no contexto da Lei nº 12.318, de 2010, não pode um juiz declarar a suspensão da autoridade parental diante de um caso confirmado de alienação parental. 
";[];2023;IGEDUC;Prefeitura de Tupanatinga - PE ; IGEDUC - 2023 - Prefeitura de Tupanatinga - PE - Assistente Social
19;"Julgue o item subsequente. 




O acolhimento familiar é uma medida protetiva prevista no Estatuto da Criança e do Adolescente (ECA), em que o menor é designado por um juiz para a realização de trabalho forçado em uma obra ou um serviço público. Pode, também, ser substituída pelo pagamento de multa ou pela prestação de serviços para a comunidade. 
";[];2023;IGEDUC;Prefeitura de Tupanatinga - PE ; IGEDUC - 2023 - Prefeitura de Tupanatinga - PE - Assistente Social
20;"Julgue o item subsequente. 




É direito das crianças e dos adolescentes ser educados e cuidados sem o uso de castigo físico ou de tratamento cruel ou degradante pelos pais, pelos integrantes da família ampliada, pelos responsáveis, pelos agentes públicos executores de medidas socioeducativas ou por qualquer pessoa encarregada de cuidar deles, tratá-los, educá-los ou protegê-los.
";[];2023;IGEDUC;Prefeitura de Tupanatinga - PE ; IGEDUC - 2023 - Prefeitura de Tupanatinga - PE - Assistente Social
21;A avaliação das entidades que aplicam programas socioeducativos nos casos de adolescente em conflito com a lei, assim como no caso de criança/adolescente com direito violado, cujo destino foi o acolhimento familiar/institucional é muito importante, para se verificar a efetividade dos programas e também para se evitar novas violações de direitos da criança/do adolescente. Segundo o Estatuto da Criança e do Adolescente, qual dos seguintes órgãos não deve colaborar nessa avaliação?;[];2022;Quadrix;CFP ; Quadrix - 2022 - CFP - Especialista em Psicologia - Psicologia Jurídica
22;"Sobre maus-tratos contra criança, assinalar a alternativa que preenche a lacuna abaixo CORRETAMENTE:
Os casos de suspeita ou confirmação de maus-tratos contra criança ou adolescente serão obrigatoriamente comunicados ao(à) ___________________ da respectiva localidade, sem prejuízo de outras providências legais.";[];2023;OBJETIVA;Prefeitura de Nova Bréscia - RS ; OBJETIVA - 2023 - Prefeitura de Nova Bréscia - RS - Monitor de Escola
23;De acordo com a Lei nº 8.069/1990 — ECA, sobre os direitos fundamentais inerentes à criança e ao adolescente, assinalar a alternativa CORRETA:;[];2023;OBJETIVA;Prefeitura de Nova Bréscia - RS ; OBJETIVA - 2023 - Prefeitura de Nova Bréscia - RS - Monitor de Escola
24;O Estatuto da Criança e do Adolescente estabelece que os dirigentes de estabelecimentos de ensino fundamental, obrigatoriamente, comunicarão ao Conselho Tutelar os seguintes casos:  ;[];2023;UFMG;UFMG ; UFMG - 2023 - UFMG - Assistente de Aluno
25;Anderson, de 17 anos, cumpre medida socioeducativa em unidade de internação. O adolescente procura a direção para solicitar autorização para que Sarah, com quem vive, comprovadamente, em união estável, realize visita íntima. Anderson solicita, ainda, que seja autorizada, em outra data, a visita na unidade de internação de seu filho com Sarah, a criança Lucas, de 5 anos. Anselmo, diretor da unidade, indefere ambos os pleitos, razão pela qual o adolescente manifesta o desejo de ser atendido pela Defensoria Pública. Considerando o disposto na Lei nº 12.594/2012 (Sinase), é correto afirmar que: ;[];2023;FGV;TJ-MS ; FGV - 2023 - TJ-MS - Juiz Substituto
26;Sabrina, adolescente de 16 anos, possui conta em rede social onde realiza postagens para os seus seguidores, nas quais aparece dançando em roupas íntimas. Visando à produção de novos conteúdos, Sabrina hospeda-se, por conta própria e sem anuência dos seus responsáveis legais, em um motel, onde realiza as gravações de vídeos. Os pais de Sabrina noticiam os fatos ao Conselho Tutelar, que aplica medidas de proteção à adolescente e encaminha notícia de fato ao Ministério Público. Considerando o disposto na Lei nº 8.069/1990 (ECA) e as medidas de natureza não criminal na seara da infância e juventude, é correto afirmar que:;[];2023;FGV;TJ-MS ; FGV - 2023 - TJ-MS - Juiz Substituto
27;Fábio, adolescente de 15 anos, reside com os seus pais em Campo Grande e irá passar as férias de julho com a sua tia e os seus primos, que residem em Corumbá. A mãe de Fábio, Andressa, elabora declaração autorizando a viagem do adolescente desacompanhado e leva o documento ao Cartório de Notas para reconhecimento de firma por autenticidade. Ao chegar à rodoviária, Fábio é impedido de viajar pelo funcionário da empresa de ônibus, que alega que o adolescente não pode embarcar sozinho e deve estar acompanhado dos pais ou de representante legal na viagem. Considerando o disposto na Resolução CNJ nº 295, de 13/09/2019, é correto afirmar que Fábio:;[];2023;FGV;TJ-MS ; FGV - 2023 - TJ-MS - Juiz Substituto
28;"Com base no Estatuto da Criança e do Adolescente (Lei n.º 8.069/1990), julgue o item a seguir. 




Em regra, imediatamente após o acolhimento da criança ou do adolescente, a entidade responsável pelo programa de acolhimento institucional ou familiar deverá elaborar um plano individual de atendimento, visando à reintegração familiar. 
";[];2023;CESPE;CNMP ; Direito
29;"Com base no Estatuto da Criança e do Adolescente (Lei n.º 8.069/1990), julgue o item a seguir. 




Família extensa ou ampliada é aquela formada por parentes próximos com os quais a criança ou adolescente convive e mantém vínculos de afinidade e afetividade.
";[];2023;CESPE;CNMP ; Direito
30;"Com base no Estatuto da Criança e do Adolescente (Lei n.º 8.069/1990), julgue o item a seguir. 




A internação consiste em medida privativa de liberdade, devendo a criança ou adolescente ser liberado compulsoriamente aos dezoito anos de idade. 
";[];2023;CESPE;CNMP ; Direito
31;"Com base no Estatuto da Criança e do Adolescente (Lei n.º 8.069/1990), julgue o item a seguir. 




Família natural é a comunidade formada pelos pais ou qualquer deles e seus descendentes. 
";[];2023;CESPE;CNMP ; Direito
32;"Com base no Estatuto da Criança e do Adolescente (Lei n.º 8.069/1990), julgue o item a seguir. 




A medida que garante tratamento de saúde especializado à criança vítima de castigo físico somente poderá ser aplicada pela autoridade judiciária.
";[];2023;CESPE;CNMP ; Direito
33;"No que se refere ao catálogo de direitos humanos e à sua efetivação, julgue o item a seguir, à luz da legislação aplicável e da jurisprudência do Supremo Tribunal Federal. 




Como forma de proteger a maternidade e garantir o direito à vida e à saúde da criança, a gestante e a lactante não podem ser submetidas a atividades insalubres de qualquer nível em seu ambiente de trabalho. 
";[];2023;CESPE;CNMP ; Direito
34;"No que se refere ao catálogo de direitos humanos e à sua efetivação, julgue o item a seguir, à luz da legislação aplicável e da jurisprudência do Supremo Tribunal Federal. 




Considerando-se os princípios da parentalidade responsável, da proteção integral da criança e da prioridade absoluta, é correto afirmar que a licença-maternidade também se estende ao pai genitor monoparental.
";[];2023;CESPE;CNMP ; Direito
35;"À luz da Lei n.º 14.344/2022, que dispõe sobre violência doméstica e familiar contra a criança e o adolescente, julgue o item a seguir. 




Nos casos de violência doméstica e familiar contra a criança e o adolescente, quando necessário, caberá ao Ministério Público requisitar força policial e serviços públicos de saúde, de educação, de assistência social e de segurança, entre outros.  
";[];2023;CESPE;CNMP ; Direito
36;É crime previsto no ECA;[];2023;CESPE;Prefeitura de Boa Vista - RR ; CESPE / CEBRASPE - 2023 - Prefeitura de Boa Vista - RR - Guarda Municipal
37;"O Direito da Criança e do Adolescente demarcou um campo especial no ordenamento brasileiro. A partir de 1988 crianças e adolescentes são reconhecidos na condição de sujeitos de direitos e não meros objetos de intervenção no mundo adulto. A proteção integral às crianças e adolescentes está consagrada nos direitos fundamentais inscritos no artigo 227 da Constituição Federal de 1988 e nos artigos 3 e 4 do Estatuto da Criança e do Adolescente (Lei Federal nº 8.069, de 13 de julho de 1990). A promulgação destes direitos fundamentais tem amparo no status de prioridade absoluta dado à criança e ao adolescente, uma vez que estão em peculiar condição de pessoas humanas em desenvolvimento. (Por: Dra. Cristina Maria Muller. Advogada)




A Lei nº 8.069, de 13 de julho de 1990, dispõe sobre o Estatuto da Criança e do Adolescente e dá outras providências.




Art. 3º A criança e o adolescente gozam de todos os direitos fundamentais inerentes à pessoa humana, sem prejuízo da proteção integral de que trata esta Lei, assegurando-se-lhes, por lei ou por outros meios, todas as oportunidades e facilidades, a fim de lhes facultar o desenvolvimento: ____________.




Disponível em: http://www.planalto.gov.br/ccivil_03/LEIS/L8069.htm




Marque a alternativa que apresenta todos os elementos que completam coerentemente o caput do Art. 3º :";[];2023;AMEOSC;Prefeitura de São José do Cedro - SC ; AMEOSC - 2023 - Prefeitura de São José do Cedro - SC - Professor de Ensino Fundamental - Séries Iniciais
38;Analisando os aspectos formais da família natural, em conformidade com o Art. 25 da Lei nº 8.069/90, marque a alternativa CORRETA.;[];2023;AMEOSC;Prefeitura de São José do Cedro - SC ; AMEOSC - 2023 - Prefeitura de São José do Cedro - SC - Professor de Ensino Fundamental - Séries Iniciais
39;A luz da Lei nº 8.069/90 - Estatuto da Criança e do Adolescente, assinale a alternativa INCORRETA.;[];2023;AMEOSC;Prefeitura de São José do Cedro - SC ; AMEOSC - 2023 - Prefeitura de São José do Cedro - SC - Professor de Educação Física
40;"Em relação ao Estatuto da Criança e do Adolescente, previsto na Lei nº 8.069, de 13 de julho de 1990, atribua V, para verdadeiro, e F, para falso, nas afirmativas abaixo:
(__) O direito ao respeito consiste na inviolabilidade da integridade física, psíquica e moral da criança e do adolescente, abrangendo a preservação da imagem, da identidade, da autonomia, dos valores, ideias e crenças, dos espaços e objetos pessoais.  (__) É dever de todos velar pela dignidade da criança e do adolescente, pondo-os a salvo de qualquer tratamento desumano, violento, aterrorizante, vexatório ou constrangedor. (__) A criança e o adolescente têm direito à liberdade, ao respeito e à dignidade como pessoas humanas em processo de desenvolvimento e como sujeitos de direitos civis, humanos e sociais garantidos na Constituição e nas leis.
Após análise, assinale a alternativa que apresenta a sequência CORRETA dos itens acima, de cima para baixo:
";[];2023;AMEOSC;Prefeitura de São José do Cedro - SC ; AMEOSC - 2023 - Prefeitura de São José do Cedro - SC - Assistente Social II
41;"Referente a Lei nº 8.069, de 13 de julho de 1990, analise as afirmativas abaixo, no que diz respeito a guarda e adoção de crianças e adolescentes. I. A guarda destina-se a regularizar a posse de fato, podendo ser deferida, liminar ou incidentalmente, nos procedimentos de tutela e adoção, exceto no de adoção por estrangeiros. II. Se um dos cônjuges ou concubinos adota o filho do outro, mantêm-se os vínculos de filiação entre o adotado e o cônjuge ou concubino do adotante e os respectivos parentes. III. O adotante há de ser, pelo menos, vinte e um anos mais velho do que o adotando.
É CORRETO o que se afirma em:";[];2023;AMEOSC;Prefeitura de São José do Cedro - SC ; AMEOSC - 2023 - Prefeitura de São José do Cedro - SC - Assistente Social II
42;"O Estatuto da Criança e do Adolescente menciona o brincar, praticar esportes e divertir-se como sendo um direito. Acerca do assunto, assinale a alternativa INCORRETA.
";[];2023;INSTITUTO;Prefeitura de Santana de Parnaíba - SP ; INSTITUTO MAIS - 2023 - Prefeitura de Santana de Parnaíba - SP - Monitor Assistencial
43;"Na interpretação do Estatuto da Criança e do Adolescente deve ser levado em conta 
";[];2023;INSTITUTO;Prefeitura de Santana de Parnaíba - SP ; INSTITUTO MAIS - 2023 - Prefeitura de Santana de Parnaíba - SP - Monitor Assistencial
44;"O direito ao respeito abrange, dentre outros, a preservação
I. da imagem e da identidade. II. dos espaços e objetos pessoais. III. da autonomia e dos valores.
É correto o que se afirma em";[];2023;INSTITUTO;Prefeitura de Santana de Parnaíba - SP ; INSTITUTO MAIS - 2023 - Prefeitura de Santana de Parnaíba - SP - Monitor Assistencial
45;Tendo como base, o Estatuto da Criança e do Adolescente, assinale a alternativa correta:;[];2023;BRB;Prefeitura de Borda da Mata - MG ; BRB - 2023 - Prefeitura de Borda da Mata - MG - Professor II - Educação Física
46;Nos termos do Estatuto da Criança e do Adolescente (Lei nº 8.069/1990), assinale a alternativa CORRETA:;[];2022;IDCAP;Prefeitura de Jacobina - BA ; IDCAP - 2022 - Prefeitura de Jacobina - BA - Guarda Municipal
47;Jorge tem dezesseis anos de idade. Matheus tem treze anos de idade. Pedro tem onze anos de idade. José tem sessenta anos de idade. Considerando essas informações, assinale a alternativa correta. ;[];2020;INSTITUTO;SEJUC - RR ; INSTITUTO AOCP - 2020 - SEJUC - RR - Agente Penitenciário
48;Por se tratar de uma escola pública com gestão autônoma, é lícito que a direção do estabelecimento de ensino impeça que os alunos participem das aulas. ;[];2023;CESPE;SEE-PE ; CESPE / CEBRASPE - 2023 - SEE-PE - Professor Braillista 
49;A advertência é a única sanção que pode ser imposta a dirigentes de entidades de atendimento.;[];2023;CESPE;TJ-ES ; Comissário de Justiça da Infância e Juventude
50;A competência jurisdicional no que se refere a medidas socioeducativas cabe exclusivamente ao Promotor de Justiça que atua na Vara da Infância e da Juventude.;[];2023;CESPE;TJ-ES ; Comissário de Justiça da Infância e Juventude
51;A reavaliação da manutenção, da substituição ou da suspensão das medidas de meio aberto ou de privação da liberdade e do respectivo plano individual pode ser solicitada a qualquer tempo.  ;[];2023;CESPE;TJ-ES ; Comissário de Justiça da Infância e Juventude
52;Os princípios de execução das medidas socioeducativas incluem a não discriminação do adolescente em razão de etnia, gênero, nacionalidade, classe social, orientação religiosa, política ou sexual ou, ainda, associação ou pertencimento a qualquer minoria. ;[];2023;CESPE;TJ-ES ; Comissário de Justiça da Infância e Juventude
53;O princípio do melhor interesse da criança e do adolescente deve ser aplicado prioritariamente, sem prejuízo da consideração que for devida a outros interesses legítimos, no âmbito da pluralidade dos interesses presentes no caso concreto;[];2023;CESPE;TJ-ES ; Comissário de Justiça da Infância e Juventude
54;"O Brasil registrou quase 20 mil casos de maus-tratos contra crianças e adolescentes em 2021. Este número representa um aumento de 21% em relação a 2020, segundo dados do Anuário Brasileiro de Segurança Pública. Por esse motivo, é importante que a instituição comunique o/a ___________________ quando suspeitar de casos de maus tratos envolvendo seus alunos.
Assinale a alternativa que preenche corretamente a lacuna do trecho acima.";[];2023;FUNDATEC;Prefeitura de Balneário Pinhal - RS ; FUNDATEC - 2023 - Prefeitura de Balneário Pinhal - RS - Professor II - Ciências 
55;O Conselho Tutelar é composto ;[];2022;FCC;SEDU-ES ; FCC - 2022 - SEDU-ES - Agente de Suporte Educacional
56;Matheus, 14 anos, foi flagrado cometendo ato infracional. A autoridade policial, informando somente à autoridade judiciária competente, entrou na sala de aula, expôs para toda a turma a situação em questão interrogando Matheus e, sem qualquer resistência do adolescente, o algemou e o levou, em compartimento fechado da viatura, para a delegacia. Considerando o caso hipotético, a ação da autoridade policial: ;[];2022;Instituto;SEED-PR ; Ambiente e Saúde 
57;O direito à educação, de crianças e adolescentes, visa seu pleno desenvolvimento, preparo para o exercício da cidadania e qualificação para o trabalho. Nesse sentido, trata-se de um caso em que dirigentes de estabelecimentos de ensino fundamental possuem o dever de comunicar ao Conselho Tutelar: ;[];2022;Instituto;SEED-PR ; Ambiente e Saúde 
58;"Julgue o item a seguir, que dizem respeito a ações afirmativas, à saúde e a direitos da pessoa idosa. 
De acordo com a Política Nacional de Prevenção da Automutilação e do Suicídio, os casos suspeitos ou confirmados de violência autoprovocada são de notificação compulsória ao conselho tutelar pelos estabelecimentos de ensino públicos ou privados.
";[];2023;CESPE;MPE-SC ; CESPE / CEBRASPE - 2023 - MPE-SC - Promotor de Justiça Substituto (fase vespertina)
59;"Considerando as disposições da legislação estadual de Santa Catarina acerca da educação especial, do combate à intimidação sistêmica e da comercialização de revistas e publicações de conteúdo adulto em bancas de jornais e similares, julgue o item subsequente.
As escolas catarinenses devem oferecer, preferencialmente na rede regular de ensino, educação especial para o atendimento das necessidades educacionais especiais de alunos com deficiência, transtorno do espectro autista, transtorno de déficit de atenção, hiperatividade, altas habilidades e superdotação.
";[];2023;CESPE;MPE-SC ; CESPE / CEBRASPE - 2023 - MPE-SC - Promotor de Justiça Substituto (fase vespertina)
60;"Considerando as disposições da legislação estadual de Santa Catarina acerca da educação especial, do combate à intimidação sistêmica e da comercialização de revistas e publicações de conteúdo adulto em bancas de jornais e similares, julgue o item subsequente.
As regras elaboradas pelo conselho escolar para enfrentar o bullying nas escolas catarinenses devem ser incluídas como normas no regimento escolar. 
";[];2023;CESPE;MPE-SC ; CESPE / CEBRASPE - 2023 - MPE-SC - Promotor de Justiça Substituto (fase vespertina)
61;"A respeito das medidas protetivas e socioeducativas estabelecidas no ECA, julgue o item a seguir, à luz da legislação e da jurisprudência do STJ. 
É inadmissível a decretação do instituto da prescrição em caso de ato infracional praticado por adolescente, porquanto o ECA não cuida da aplicação de pena, mas tão somente de medidas socioeducativas, as quais não prescrevem, por se destinarem ao processo de reeducação e de ressocialização. 
";[];2023;CESPE;MPE-SC ; CESPE / CEBRASPE - 2023 - MPE-SC - Promotor de Justiça Substituto (fase vespertina)
62;"Conforme as disposições do ECA, a legislação correlata e a jurisprudência, julgue o item que se segue.
O advogado, no exercício da profissão, pode ter acesso a procedimento em andamento no conselho tutelar quando for autorizado por procuração específica ou estiver acompanhando pessoa intimada que tiver sido apontada como possível autora de abusos ou de negligência contra criança ou adolescente, respeitado o dever de sigilo.  
";[];2023;CESPE;MPE-SC ; CESPE / CEBRASPE - 2023 - MPE-SC - Promotor de Justiça Substituto (fase vespertina)
63;"Conforme as disposições do ECA, a legislação correlata e a jurisprudência, julgue o item que se segue.
A recomendação do Conselho Nacional do Ministério Público (CNMP) aos membros do Ministério Público, como órgão de intervenção nos processos judiciais que envolvam menores, é no sentido de serem absolutamente contrários à autorização judicial de trabalho a ser exercido por crianças e adolescentes menores de dezesseis anos de idade, ainda que excepcionalmente. 
";[];2023;CESPE;MPE-SC ; CESPE / CEBRASPE - 2023 - MPE-SC - Promotor de Justiça Substituto (fase vespertina)
64;"Com base na literatura jurídica acerca da proteção integral dos direitos da criança e do adolescente, julgue o item a seguir. 
O Estatuto da Criança e do Adolescente (ECA) adotou o princípio da descentralização político-administrativa, materializado na esfera municipal pela participação direta da comunidade por meio do conselho municipal dos direitos e dos conselhos tutelares.
";[];2023;CESPE;MPE-SC ; CESPE / CEBRASPE - 2023 - MPE-SC - Promotor de Justiça Substituto (fase vespertina)
65;"O Estatuto da Criança e do Adolescente (ECA), sancionado em 13 de julho de 1990, é o principal instrumento normativo do Brasil sobre os direitos da criança e do adolescente. O ECA incorporou os avanços preconizados na Convenção sobre os Direitos da Criança das Nações Unidas e trouxe o caminho para se concretizar o Artigo 227 da Constituição Federal, que determinou direitos e garantias fundamentais a crianças e adolescentes.
Fonte:https://www.gov.br/mdh/pt-br/assuntos/noticias/2021/julho/trinta-e-um-anos-do-estatuto-da-crianca-e-do-adolescente-confira-as-novas-acoes-parafortalecer-o-eca/ECA2021_Digital.pdf (Fragmento).
De acordo com a Lei n.º 8.069, de 13 de julho de 1990: ";[];2022;Unesc;Prefeitura de Maracajá - SC ; Unesc - 2022 - Prefeitura de Maracajá - SC - Professor de Geografia
66;Sobre a convivência familiar e comunitária e colocação em família substituta, de acordo com expressa legislação em vigor:;[];2023;FCC;DPE-SP ; FCC - 2023 - DPE-SP - Defensor Público do Estado de São Paulo
67;Conforme a Lei nº 8.069/90, art. 56, os dirigentes de estabelecimentos de ensino fundamental comunicarão ao Conselho Tutelar os casos de;[];2023;VUNESP;Prefeitura de Guarulhos - SP ; VUNESP - 2023 - Prefeitura de Guarulhos - SP - Assistente de Gestão Escolar
68;Assinale a alternativa que não está em conformidade com as prescrições contidas no Estatuto da Criança e Adolescente.;[];2023;IBFC;SEJUSP-MG ; IBFC - 2023 - SEJUSP-MG - Agente de Segurança Socioeducativo
